point_id,longitude,latitude,elevation,slope,rainfall_2025_monsoon,ndvi_2025_monsoon,geology_std,drainage,LSI_score,risk_class
799437,79.94077008637318,29.64252758762385,940,24.11001205444336,1138.577357199043,0.6188543780240362,60.09641189585004,48.22002410888672,0.33289141227648766,2
793068,79.30385816433183,29.75257470476806,1617,6.915216445922852,1020.5651262849569,0.7174147217235188,58.64016891304738,13.830432891845703,0.17330268255629871,2
781689,78.16578692861297,30.97764336886528,2521,17.7459659576416,1272.3482205569744,0.7615830115830116,71.32344413928314,35.4919319152832,0.28889340361894444,2
798261,79.82313980784878,29.95879250820945,2019,34.03091049194336,1391.4591881092638,0.7489123679303915,126.69121967409161,68.06182098388672,0.46934578676924316,3
804457,80.4426731652946,30.094683526131888,4543,47.244388580322266,1388.2948372587562,0.05109155332037947,141.4577910917944,94.48877716064453,0.6837993793305503,3
792267,79.22381301124537,29.095771504192918,222,1.488691806793213,1217.4634602069855,0.7306260575296109,2.240324077847379,2.977383613586426,0.1129344555057662,1
792735,79.2704695914431,29.942508183334425,1543,22.080585479736328,993.55748526752,0.7589333333333333,68.7855546061911,44.161170959472656,0.2850482427111058,2
792751,79.27209960117692,29.681202407268646,799,12.730658531188965,1111.98290720582,0.8405545927209706,80.9657754247031,25.46131706237793,0.2327021339531721,2
782167,78.2136582411578,30.51238275763988,1831,13.05772876739502,1525.4372539520264,0.7842597688497523,90.17417987455934,26.11545753479004,0.2961042920779226,2
793011,79.29815502712708,29.776893667518852,1118,27.328800201416016,1000.6331408321857,0.6764285714285714,77.98329109486444,54.65760040283203,0.344568326721506,2
791871,79.18418091047522,29.509766699581387,959,23.459718704223633,1316.7444161698222,0.7527071266683455,90.42829722764263,46.919437408447266,0.3529560962233851,2
794051,79.40209455893971,29.76893642141235,1320,14.912530899047852,1026.5897930189967,0.7554076539101497,54.94428597956916,29.825061798095703,0.2255647722683879,2
795063,79.50337299118797,29.153274057340873,355,0.7049721479415894,1475.233461071737,0.814316974054392,2.842671343797975,1.4099442958831787,0.12932347725137755,1
777802,77.77710557849664,30.99769819982667,2945,37.78751754760742,1050.0908169448376,0.8338907469342252,181.95613497662416,75.57503509521484,0.4886348349576285,3
777109,77.70785702122677,30.58836774302696,4976,13.893834114074707,324.82233119010925,0.09209770114942528,85.72946890150304,27.787668228149414,0.27468620235927377,2
795955,79.59260587408491,29.209095033448072,558,18.845548629760742,1427.8573092827573,0.88341384863124,43.64616425667882,37.691097259521484,0.29005840157605933,2
